# tracer: function_graph
#
#     TIME        CPU  TASK/PID         DURATION                  FUNCTION CALLS
#      |          |     |    |           |   |                     |   |   |   |
 7837.572238 |   0)  compact-3316  | + 11.446 us   |  } /* __alloc_pages_nodemask */
 7837.573164 |   0)  compact-3316  | + 13.943 us   |  } /* __alloc_pages_nodemask */
 7837.573685 |   0)  compact-3316  | + 13.983 us   |  } /* __alloc_pages_nodemask */
 7837.574126 |   0)  compact-3316  | + 13.742 us   |  } /* __alloc_pages_nodemask */
 7837.575564 |   0)  compact-3316  | + 13.809 us   |  } /* __alloc_pages_nodemask */
 7837.576505 |   0)  compact-3316  | + 13.649 us   |  } /* __alloc_pages_nodemask */
 7837.576988 |   0)  compact-3316  | + 13.551 us   |  } /* __alloc_pages_nodemask */
 7837.577035 |   0)  compact-3316  | + 13.379 us   |  } /* __alloc_pages_nodemask */
 7837.577955 |   0)  compact-3316  | + 13.719 us   |  } /* __alloc_pages_nodemask */
 7837.578001 |   0)  compact-3316  | + 13.318 us   |  } /* __alloc_pages_nodemask */
 7837.578961 |   0)  compact-3316  | + 14.050 us   |  } /* __alloc_pages_nodemask */
 7837.602768 |   0)  compact-3316  | + 12.584 us   |  } /* __alloc_pages_nodemask */
 7837.602935 |   0)  compact-3316  | + 13.069 us   |  } /* __alloc_pages_nodemask */
 7837.603073 |   0)  compact-3316  | + 10.582 us   |  } /* __alloc_pages_nodemask */
 7837.603139 |   0)  compact-3316  | + 25.702 us   |  } /* __alloc_pages_nodemask */
 7837.603217 |   0)  compact-3316  | + 10.025 us   |  } /* __alloc_pages_nodemask */
 7837.604155 |   0)  compact-3316  | + 11.489 us   |  } /* __alloc_pages_nodemask */
 7837.607127 |   0)  compact-3316  | + 13.477 us   |  } /* __alloc_pages_nodemask */
 7837.615127 |   0)  compact-3316  | + 13.544 us   |  } /* __alloc_pages_nodemask */
 7837.623127 |   0)  compact-3316  | + 12.963 us   |  } /* __alloc_pages_nodemask */
 7837.627126 |   0)  compact-3316  | + 11.711 us   |  } /* __alloc_pages_nodemask */
 7837.635127 |   0)  compact-3316  | + 13.531 us   |  } /* __alloc_pages_nodemask */
 7837.643127 |   0)  compact-3316  | + 12.907 us   |  } /* __alloc_pages_nodemask */
 7837.651127 |   0)  compact-3316  | + 13.685 us   |  } /* __alloc_pages_nodemask */
 7837.667125 |   0)  compact-3316  | + 10.727 us   |  } /* __alloc_pages_nodemask */
 7837.683126 |   0)  compact-3316  | + 12.867 us   |  } /* __alloc_pages_nodemask */
 7837.687127 |   0)  compact-3316  | + 13.226 us   |  } /* __alloc_pages_nodemask */
 7837.691132 |   0)  compact-3316  | + 17.634 us   |  } /* __alloc_pages_nodemask */
 7837.695037 |   0)  compact-3316  | + 14.871 us   |  } /* __alloc_pages_nodemask */
 7837.707126 |   0)  compact-3316  | + 12.526 us   |  } /* __alloc_pages_nodemask */
 7837.711127 |   0)  compact-3316  | + 14.993 us   |  } /* __alloc_pages_nodemask */
 7837.723127 |   0)  compact-3316  | + 13.887 us   |  } /* __alloc_pages_nodemask */
 7837.739719 |   0)  compact-3316  | + 14.782 us   |  } /* __alloc_pages_nodemask */
 7837.739907 |   0)  compact-3316  | + 11.169 us   |  } /* __alloc_pages_nodemask */
 7837.747128 |   0)  compact-3316  | + 14.025 us   |  } /* __alloc_pages_nodemask */
